M_X_GeV,"H(0,0)","H(1,0)","H(1,1)","H(2,0)","H(2,1)","H(2,2)","H(3,0)","H(3,1)","H(3,2)","H(3,3)","H(4,0)","H(4,1)","H(4,2)","H(4,3)","H(4,4)"
0.6745819397993311,0.4060138783477824,-0.15581465937562858,-0.1654398220023797,-0.04642615601533461,0.10692529148449313,0.031871731205879376,-0.0031707154960887787,-0.0018182433701209543,-0.0023147236223460066,-0.0013392423935677912,-0.002759155096395097,-0.0011664692405116894,-0.001024669395553273,0.0,0.0
0.6792642140468227,0.42469538585536587,-0.16014886507954232,-0.1698297048296064,-0.04951121323154671,0.11362181415571555,0.03354537179689166,-0.003172784078055538,-0.002040945460890915,-0.002479610402759242,-0.001495627467427384,-0.00304056805678412,-0.0011386213719296405,-0.0010660948186153169,0.0,0.0
0.6839464882943143,0.44475721108500377,-0.16459196817556204,-0.17429447300212458,-0.05281159429763786,0.12080405781507204,0.03532557615035158,-0.003151342367012997,-0.002277968847848002,-0.0026578803312810807,-0.0016693718456824117,-0.0033508954910110396,-0.0010975574486530915,-0.0011067529158644324,0.0,0.0
0.6886287625418059,0.4662763188928429,-0.1691340966638253,-0.17881846806498444,-0.056334764815542046,0.12849756156993594,0.03721778603341665,-0.0031012902591495565,-0.002529773246244796,-0.002850456463966218,-0.0018622516938724325,-0.0036928048554803984,-0.0010409086051329523,-0.001145968186905125,0.0,0.0
0.6933110367892976,0.48931786409936523,-0.17375959848002287,-0.18337945732106684,-0.060085533501514625,0.13672393552532036,0.039226487122390116,-0.003016754270606853,-0.002796715163989697,-0.0030582098370994424,-0.0020761250638390077,-0.004069021310319678,-0.000965981208577622,-0.0011829045933048807,0.0,0.0
0.6979933110367893,0.513928462301726,-0.1784454950261352,-0.1879470430659986,-0.06406490930092798,0.14549858812521568,0.04135467461438585,-0.0028910365679879696,-0.00307899500872576,-0.00328190682513941,-0.0023128896842646214,-0.00448224304979283,-0.0008697431206696287,-0.0012165394921906504,0.0,0.0
0.702675585284281,0.5401275817065792,-0.18315970556829278,-0.192480875824844,-0.06826867440115103,0.15482780955842443,0.04360317124143817,-0.0027165913787165204,-0.0033765892042985205,-0.0035221391836835606,-0.0025744192129140745,-0.00493502001434067,-0.0007488247085192387,-0.0012456373317753756,0.0,0.0
0.7073578595317725,0.5678968214496444,-0.18785908088412195,-0.19692872918422347,-0.07268564975203812,0.16470512893032935,0.04596978012722642,-0.002485045938908295,-0.0036891655344304746,-0.0037792337773497543,-0.002862472069678518,-0.00542958717691968,-0.0005995425696673487,-0.0012687254070594674,0.0,0.0
0.7120401337792641,0.5971669673392855,-0.1924873340120602,-0.20122454879504859,-0.077295654945791,0.17510690490763345,0.04844826517911314,-0.0021872883963214677,-0.004015980986410546,-0.004053139716958061,-0.0031785667643250888,-0.005967643860617431,-0.0004179561036740387,-0.0012840751883193848,0.0,0.0
0.7167224080267558,0.6278029552098314,-0.1969730268611067,-0.20528666424688097,-0.08206720814921199,0.18598719028189395,0.051027170966491515,-0.0018136502736267868,-0.004355763340219104,-0.004343292306224249,-0.0035238183641843296,-0.006550072537856748,-0.00019996904152889608,-0.0012896942311480465,0.0,0.0
0.7214046822742475,0.6595872659107962,-0.201227865332099,-0.20901644984464718,-0.08695507976938413,0.19727204443796478,0.05368852545695789,-0.0013542149164472918,-0.0047065809583049295,-0.004648456243940084,-0.0038987330454134596,-0.007176595294997814,5.8510799287178226e-05,-0.0012833353409061297,0.0,0.0
0.7260869565217392,0.6922028571812543,-0.20514566844854235,-0.21229783242979197,-0.09189790916040452,0.20885366550785736,0.05640651503654374,-0.0007992836683794966,-0.005065709926837339,-0.004966555346086243,-0.004302962296732521,-0.00784537476811899,0.00036134092618740317,-0.0012625312203156382,0.0,0.0
0.7307692307692307,0.7252175094960066,-0.20860249470144643,-0.21499815385746104,-0.09681621478287902,0.22058497755663245,0.059146282006763196,-0.00014002528856227136,-0.005429513884075146,-0.005294502855680446,-0.004735026028559404,-0.00855257985119811,0.0007118339765458969,-0.0012246637700395401,0.0,0.0
0.7354515050167223,0.7580723661518609,-0.2114585022785804,-0.2169709695716599,-0.10161126184222612,0.2322756178166836,0.06186306532031722,0.0006306823138684476,-0.005793359040013679,-0.005628054926609278,-0.005192024955456001,-0.009291955087332238,0.001112367705752628,-0.0011670767642375877,0.0,0.0
0.740133779264214,0.7900783210156012,-0.2135621419119381,-0.21806135237953453,-0.1061653681157127,0.24369057029971153,0.06450197271131619,0.001517238970830981,-0.006151593716707007,-0.005961718962841839,-0.005669376640875359,-0.010054454990784549,0.0015639295100299102,-0.001087237800498532,0.0,0.0
0.7448160535117057,0.8204244570280949,-0.2147571696602105,-0.21811410915655624,-0.11034427922581456,0.2545528853640171,0.0669987132824388,0.0025202035201152178,-0.006497625843951028,-0.006288755797898655,-0.0061606244298119586,-0.010828026584190626,0.0020656305345292843,-0.0009829492624232692,0.0,0.0
0.7494983277591973,0.8482025502220736,-0.21489265997032525,-0.216984950424041,-0.11400216420523691,0.2645518684235205,0.06928160140994946,0.00363519120445038,-0.006824129912439877,-0.006601316543122349,-0.006657379965314402,-0.011597637850428194,0.00261424908673451,-0.0008525980683317545,0.0,0.0
0.7541806020066889,0.8724502844551901,-0.21383566513057894,-0.214554059661087,-0.11698950785717925,0.2733576625988197,0.07127503106066203,0.0048519651843913865,-0.0071234034218503875,-0.0068907469587160255,-0.007149461954994606,-0.012345646558787515,0.003203886209669396,-0.0006954209267925411,0.0,0.0
0.7588628762541805,0.8922129981398755,-0.2114854460640878,-0.21074075259918104,-0.11916368028217697,0.2806421941331507,0.07290439377275074,0.0061539374123013675,-0.007387869803060686,-0.007148070968782046,-0.007625279671983303,-0.01305257303643972,0.0038258289663092204,-0.0005117482146977774,0.0,0.0
0.7635451505016722,0.906619674389748,-0.20778743847930034,-0.20551716939628936,-0.12040129465531405,0.28610504988298124,0.07410208836665387,0.00751828867042534,-0.007610691677224096,-0.007364630405533144,-0.008072475191348188,-0.013698277132177436,0.004468708903370216,-0.0003031798922187694,0.0,0.0
0.7682274247491638,0.9149643157417582,-0.2027445684007013,-0.1989184745744227,-0.12061077422919421,0.28950129148129206,0.07481391242829136,0.00891685027621391,-0.007786421942598136,-0.007532815933375193,-0.008478785810536332,-0.014263450351407143,0.005119006916732953,-7.264644409365632e-05,0.0,0.0
0.7729096989966555,0.9167802553326874,-0.19642347656342476,-0.19104713466893286,-0.11974307656596721,0.2906669711864389,0.07500484900367513,0.010317759060966696,-0.007911592195293369,-0.007646786260614777,-0.00883302872801195,-0.01473124001444854,0.005761892542509186,0.000175679291638612,0.0,0.0
0.7775919732441472,0.911893958835077,-0.18895383844013186,-0.18206965747002624,-0.11779850902215815,0.28953775164424794,0.07466319285045914,0.011687727995218318,-0.007985131200739919,-0.007703054138832209,-0.009126062737377923,-0.015088755240717929,0.00638230900858359,0.00043662748960417624,0.0,0.0
0.7822742474916388,0.9004474790982987,-0.1805202281717501,-0.172205605461093,-0.11482813655715612,0.28615689761813284,0.07380217634756245,0.012994617255431929,-0.008008528344851475,-0.007700829756557674,-0.009351566222461919,-0.015328195177900301,0.006966148845030383,0.0007044085772414502,0.0,0.0
0.7869565217391303,0.8828846590336161,-0.171347542661892,-0.16171035043420465,-0.11092933505946981,0.28067091493202717,0.07245873032697407,0.01420990131170212,-0.007985705533513873,-0.00764205608396133,-0.009506498008795944,-0.015447401442964437,0.007501333322131046,0.0009730665976508412,0.0,0.0
